restaurant_name,food_quality_avg,food_quality_polarity,food_quality_review_count,service_avg,service_polarity,service_review_count,ambiance_avg,ambiance_polarity,ambiance_review_count,price_value_avg,price_value_polarity,price_value_review_count,overall_score,overall_polarity,total_reviews,aspects_scored
1128 Tea and Cafe -Rawis Branch,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
AndEk's Krispy Fried Chicken Kiosk,5.0,Positive,2,5.0,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,3,3
Carbon Cafe,5.0,Positive,1,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,1,2
Brew Print Cafe,4.9999,Positive,1,5.0,Positive,1,4.9999,Positive,1,5.0,Positive,1,5.0,Positive,1,4
Brew Vroom Cafe,4.9999,Positive,6,5.0,Positive,4,5.0,Positive,3,,N/A,0,5.0,Positive,7,3
Brewed Espressions Coffee Shop,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,2,1
Burugtian,5.0,Positive,1,5.0,Positive,1,,N/A,0,,N/A,0,5.0,Positive,1,2
Caffé Kat,4.9999,Positive,3,5.0,Positive,2,5.0,Positive,2,5.0,Positive,2,5.0,Positive,3,4
Borsigue Food House,5.0,Positive,1,5.0,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,1,3
Arf's Cafe & Bechayda's Transient House,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
Anti Gutom Snackstop,5.0,Positive,2,,N/A,0,5.0,Positive,1,,N/A,0,5.0,Positive,2,2
Cafe Pia,5.0,Positive,2,5.0,Positive,1,,N/A,0,5.0,Positive,1,5.0,Positive,2,3
Migoy's Burger Albay,5.0,Positive,1,,N/A,0,,N/A,0,,N/A,0,5.0,Positive,1,1
Mr. HeBrews Cafe,5.0,Positive,30,4.9998,Positive,17,5.0,Positive,21,5.0,Positive,5,5.0,Positive,40,4
